Wall time,Step,Value
1653498426.5802062,1695600,-9.018667221069336
1653498426.686116,1696500,-8.467283248901367
1653498426.9202018,1698300,-6.5016279220581055
1653498427.0823858,1699650,-6.633603572845459
1653498427.1386263,1700100,-6.5004777908325195
1653498427.1938329,1700550,-6.0051960945129395
1653498427.3025134,1701450,-5.309713840484619
1653498427.3570278,1701900,-4.947199821472168
1653498427.5564423,1703700,-9.95550537109375
1653498427.6077685,1704150,-8.991878509521484
1653498427.658389,1704600,-7.45490026473999
1653498427.7095103,1705050,-5.491579055786133
1653498428.2318866,1709100,-7.750214099884033
1653498428.3816826,1710450,-5.920772552490234
1653498428.4309773,1710900,-6.269144058227539
1653498428.5270178,1711800,-5.80323600769043
1653498428.6261423,1712700,-5.301941394805908
1653498428.6723425,1713150,-7.200555324554443
1653498428.7171128,1713600,-6.965018272399902
1653498428.9596083,1715850,-5.706288814544678
1653498429.008946,1716300,-6.5514445304870605
1653498429.1020682,1717200,-7.130574703216553
1653498429.150238,1717650,-8.073737144470215
1653498429.2006657,1718100,-7.17811918258667
1653498429.2490668,1718550,-7.556558609008789
1653498429.2951047,1719000,-6.371851921081543
1653498429.4388425,1720350,-6.759218692779541
1653498429.5811257,1721700,-6.231164932250977
1653498429.6278608,1722150,-6.007460117340088
1653498429.6751041,1722600,-6.32855224609375
1653498429.7248213,1723050,-6.609033584594727
1653498429.7805328,1723500,-6.515361785888672
1653498429.8304217,1723950,-6.673217296600342
1653498429.877722,1724400,-5.918333053588867
1653498430.0683365,1726200,-5.363588333129883
1653498430.167064,1727100,-4.947199821472168
1653498430.259296,1728000,-6.944747447967529
1653498430.504062,1730250,-7.7790913581848145
1653498430.601084,1731150,-8.278761863708496
1653498430.6461554,1731600,-7.406330108642578
1653498430.6925864,1732050,-7.7071919441223145
1653498430.7415378,1732500,-8.012327194213867
1653498430.88214,1733850,-6.061245918273926
1653498431.0740902,1735650,-5.025485038757324
1653498431.1224384,1736100,-6.765048027038574
1653498431.2156234,1737000,-7.694654941558838
1653498431.35838,1738350,-11.446847915649414
1653498431.4033792,1738800,-10.348201751708984
1653498431.503598,1739700,-7.075685501098633
1653498431.6518357,1741050,-7.690040588378906
1653498431.7482111,1741950,-9.337663650512695
1653498431.7927551,1742400,-9.339670181274414
1653498431.888104,1743300,-6.969467639923096
1653498432.2146082,1746450,-6.228309631347656
1653498432.2610745,1746900,-5.284919738769531
1653498432.3924375,1748250,-5.562032699584961
1653498432.4398928,1748700,-5.562032699584961
1653498432.4853694,1749150,-5.562032699584961
1653498432.5277734,1749600,-5.124741077423096
1653498432.5822268,1750050,-5.359532356262207
1653498432.6319704,1750500,-5.359532356262207
1653498432.730929,1751400,-6.00016975402832
1653498432.77716,1751850,-5.860440731048584
1653498432.8259656,1752300,-5.860440731048584
1653498432.9159286,1753200,-5.973415374755859
1653498432.962107,1753650,-5.973415374755859
1653498433.0090854,1754100,-5.290332794189453
1653498433.0554676,1754550,-4.947199821472168
1653498433.3017433,1756800,-8.886333465576172
1653498433.354019,1757250,-8.583261489868164
1653498433.4123156,1757700,-7.859458923339844
1653498433.5129755,1758600,-6.145224571228027
1653498433.5583746,1759050,-6.169824600219727
1653498433.6038578,1759500,-6.194424629211426
1653498433.6488113,1759950,-5.3854475021362305
1653498433.6944747,1760400,-5.391422748565674
1653498433.7466412,1760850,-6.257312774658203
1653498433.90209,1762200,-7.813572883605957
1653498433.9517672,1762650,-7.3322906494140625
1653498434.0037777,1763100,-7.735984802246094
1653498434.1498933,1764450,-9.092931747436523
1653498434.2928076,1765800,-6.316311836242676
1653498434.3406787,1766250,-6.6273369789123535
1653498434.4370177,1767150,-7.593548774719238
1653498434.4820566,1767600,-6.7180304527282715
1653498434.5283096,1768050,-7.750460624694824
1653498434.6660948,1769400,-9.298543930053711
1653498434.7126505,1769850,-8.752779006958008
1653498434.956768,1772100,-7.930140972137451
1653498435.0051334,1772550,-6.5418806076049805
1653498435.0505948,1773000,-5.618729114532471
1653498435.105001,1773450,-5.840691089630127
1653498435.2480166,1774800,-9.502100944519043
1653498435.342585,1775700,-9.944253921508789
1653498435.390207,1776150,-7.970330238342285
1653498435.4350326,1776600,-7.6311726570129395
1653498435.483063,1777050,-6.788529396057129
1653498435.5379324,1777500,-7.342705249786377
1653498435.5835466,1777950,-6.998581886291504
1653498435.6342595,1778400,-7.580445289611816
1653498435.7296624,1779300,-8.28658676147461
1653498435.8699121,1780650,-6.627988815307617
1653498435.967331,1781550,-7.467714786529541
1653498436.0621538,1782450,-6.959020614624023
1653498436.1099343,1782900,-5.298229694366455
1653498436.1560273,1783350,-4.946000099182129
1653498436.2478535,1784250,-6.689900875091553
1653498436.2977283,1784700,-6.689900875091553
1653498436.3449764,1785150,-7.691695213317871
1653498436.3883958,1785600,-6.539095878601074
1653498436.6250489,1787850,-5.916838645935059
1653498436.6735299,1788300,-6.138200283050537
1653498436.720419,1788750,-8.346111297607422
1653498436.7645504,1789200,-9.891932487487793
1653498436.8112383,1789650,-9.44247817993164
1653498436.8602211,1790100,-7.825517177581787
1653498436.9092426,1790550,-5.76681661605835
1653498436.9554417,1791000,-5.211528778076172
1653498437.0549724,1791900,-4.947199821472168
1653498437.1001728,1792350,-5.233332633972168
1653498437.1477861,1792800,-5.505679130554199
1653498437.3401282,1794600,-6.3058600425720215
1653498437.38711,1795050,-6.933061599731445
1653498437.4370837,1795500,-6.65071439743042
1653498437.4842377,1795950,-6.226505756378174
1653498437.5280414,1796400,-5.923186779022217
1653498437.5741687,1796850,-5.564426898956299
1653498437.6219435,1797300,-6.290704727172852
1653498437.761025,1798650,-8.511726379394531
1653498437.809525,1799100,-7.485935688018799
1653498437.857047,1799550,-7.220425605773926
1653498437.901987,1800000,-6.598090171813965
1653498437.9467666,1800450,-7.891124248504639
1653498437.995602,1800900,-6.8789873123168945
1653498438.189929,1802700,-7.216897010803223
1653498438.2360456,1803150,-8.534377098083496
1653498438.3302197,1804050,-7.180756568908691
